group,reward_over_chance,avg_rt,max_choice_bias
spark,0.14149999999999996,289.11350000004285,0.47
spark,0.13816666666666666,233.24849999904632,0.62
spark,0.13450000000000006,338.755,0.5
rep,0.13244444444444448,449.67933332602183,0.5933333333333334
rep,0.12711111111111106,947.0899999999996,0.7066666666666667
spark,0.125,433.1394999998063,0.635
spark,0.12083333333333329,352.1399999991804,0.61
spark,0.1170000000000001,839.8725000014902,0.445
spark,0.11549999999999999,246.83099999969826,0.39
spark,0.11416666666666664,379.04799999684093,0.81
rep,0.11344444444444446,237.53999999523163,0.37666666666666665
spark,0.11233333333333334,614.1699999998137,0.445
rep,0.10911111111111105,1084.274999998013,0.4066666666666667
rep,0.10577777777777775,532.666666666663,0.4033333333333333
rep,0.10355555555555562,595.8683333337307,0.44666666666666666
spark,0.10066666666666668,536.6525000000023,0.64
rep,0.09900000000000003,488.3236666681369,0.39
spark,0.09750000000000003,632.9570000000036,0.48
spark,0.09616666666666662,415.6239999911189,0.505
spark,0.09450000000000003,367.8445000016689,0.46
rep,0.09444444444444444,743.1626666684946,0.38333333333333336
spark,0.09399999999999997,250.965,0.58
spark,0.09383333333333332,452.9129999999143,0.425
spark,0.09366666666666668,309.90000000000117,0.45
rep,0.09200000000000008,486.51566665331524,0.4066666666666667
spark,0.09116666666666662,349.41199999570847,0.485
rep,0.08911111111111114,636.9623333422343,0.3933333333333333
rep,0.08844444444444444,1080.3383333337306,0.56
rep,0.08788888888888885,778.0559999624888,0.53
rep,0.08733333333333332,1043.9826666665076,0.4266666666666667
spark,0.08699999999999997,313.551499992609,0.39
rep,0.08644444444444443,2244.091000000437,0.49
spark,0.08616666666666661,271.777999997139,0.365
rep,0.08577777777777784,694.3100000000004,0.35333333333333333
spark,0.08533333333333337,239.33599999904632,0.38
spark,0.08466666666666667,830.9334999984503,0.435
rep,0.08166666666666667,1195.5633333333355,0.43
rep,0.08111111111111113,1107.3376666666195,0.4633333333333333
spark,0.08050000000000002,1699.745,0.495
spark,0.07999999999999996,276.895,0.39
rep,0.07899999999999996,1288.5096666701634,0.36
rep,0.0788888888888889,600.4886666668455,0.4033333333333333
spark,0.07633333333333325,614.3120000004768,0.36
rep,0.07588888888888895,533.0479999995232,0.45
rep,0.07577777777777783,507.88000000000017,0.4033333333333333
rep,0.07533333333333325,459.356666692098,0.35
spark,0.07499999999999996,1480.7750000017882,0.795
spark,0.07466666666666666,684.0949999991059,0.385
spark,0.07466666666666666,319.18849999547007,0.535
rep,0.0743333333333333,407.6139999995629,0.4
spark,0.07266666666666666,261.33600001215933,0.635
spark,0.07233333333333336,386.03749999940396,0.375
spark,0.0718333333333333,7181.462000001669,0.905
spark,0.07166666666666666,415.6915000247955,0.39
rep,0.07144444444444442,812.8333333333356,0.5266666666666666
spark,0.07133333333333325,347.6210000050068,0.44
spark,0.07116666666666671,1059.574999998808,0.385
rep,0.07077777777777772,696.8439999999106,0.38333333333333336
spark,0.07050000000000006,518.9139999949932,0.445
spark,0.07050000000000001,300.17600000001954,0.405
rep,0.06899999999999995,356.17000000000166,0.7633333333333333
rep,0.06888888888888889,966.05699999849,0.5733333333333334
spark,0.06883333333333336,711.4180000114441,0.425
spark,0.0688333333333333,385.9,0.34
rep,0.06855555555555559,343.4966666666688,0.39
rep,0.06799999999999995,418.2083333334327,0.44666666666666666
rep,0.06688888888888889,627.4426666679979,0.4533333333333333
rep,0.06655555555555548,280.72833333849906,0.5366666666666666
rep,0.06622222222222218,332.05833333412806,0.3933333333333333
rep,0.06611111111111112,264.3576666670044,0.5733333333333334
spark,0.06566666666666665,916.6950000000047,0.415
rep,0.06544444444444447,2203.214666665892,0.36666666666666664
spark,0.0651666666666667,621.99,0.36
rep,0.06288888888888894,1317.0466666666666,0.45
spark,0.06266666666666665,671.16,0.5
spark,0.06233333333333335,319.02150000005963,0.38
rep,0.06222222222222218,631.2866666666674,0.4533333333333333
rep,0.062000000000000055,1199.683333333335,0.4766666666666667
spark,0.06133333333333335,450.4140000024438,0.425
rep,0.061333333333333295,578.3496666666741,0.44
rep,0.06122222222222229,687.4089999996622,0.63
spark,0.06066666666666676,225.76300000071527,0.985
rep,0.06044444444444441,535.6513333320618,0.4166666666666667
spark,0.059833333333333294,877.8135000000149,0.41
spark,0.05916666666666659,901.5225000047684,0.56
rep,0.05877777777777782,560.2453333333507,0.37666666666666665
spark,0.05783333333333329,504.77300000041726,0.51
rep,0.05755555555555558,337.4133333349228,0.38333333333333336
spark,0.057499999999999996,271.78200000047684,0.7
spark,0.05733333333333335,403.1689999961853,0.38
rep,0.05711111111111111,556.4566666666667,0.44666666666666666
spark,0.05700000000000005,553.2465000006556,0.655
rep,0.055777777777777815,2644.60600000004,0.6866666666666666
rep,0.055777777777777815,602.1566666666646,0.43333333333333335
spark,0.055499999999999994,353.9254999756813,0.375
rep,0.05544444444444446,706.3559999996423,0.49
spark,0.055333333333333345,365.69,0.44
rep,0.05499999999999994,838.3493333347639,0.5
rep,0.05422222222222228,931.9009999999963,0.59
rep,0.05377777777777781,356.5933333333331,0.35
rep,0.05355555555555558,1894.239666647911,0.4533333333333333
rep,0.05266666666666664,383.191666666617,0.36333333333333334
rep,0.0523333333333334,357.0036666651567,0.41333333333333333
rep,0.052111111111111164,485.1350000000745,0.36
rep,0.05166666666666675,885.4129999989271,0.42333333333333334
rep,0.05099999999999999,826.3643333329757,0.38333333333333336
spark,0.0505000000000001,442.588500000909,0.44
spark,0.05049999999999999,355.915,0.41
rep,0.05022222222222228,718.3166666666644,0.42333333333333334
spark,0.05016666666666669,932.892500000745,0.34
rep,0.04966666666666664,491.8946666667859,0.38
rep,0.049555555555555575,1208.562333338658,0.36
rep,0.049555555555555575,446.9890000001341,0.44
rep,0.04822222222222222,637.0659999994436,0.4666666666666667
spark,0.04800000000000004,669.2200000011921,0.345
spark,0.04683333333333328,348.6170000009239,0.38
rep,0.04677777777777781,511.78633333245915,0.41
rep,0.04644444444444451,668.6749999995033,0.3933333333333333
rep,0.046222222222222165,821.3899999999996,0.34
spark,0.04616666666666669,554.5085000017285,0.495
rep,0.04555555555555557,673.1633333384991,0.4
spark,0.04550000000000004,157.90150001704694,0.415
spark,0.04533333333333334,416.6264999842644,0.41
rep,0.045222222222222275,523.2240000017484,0.38333333333333336
spark,0.04516666666666669,311.3259999997914,0.36
rep,0.04488888888888892,1256.556666666668,0.3566666666666667
rep,0.04466666666666674,538.0666666662196,0.4066666666666667
spark,0.04466666666666663,729.0730000019073,0.415
rep,0.0444444444444444,815.3176666577657,0.45
rep,0.0441111111111111,1702.1366666666645,NA
rep,0.043777777777777804,688.7813333129883,0.43666666666666665
spark,0.04366666666666663,280.0215000027418,0.46
spark,0.043166666666666687,431.7200000047684,0.355
spark,0.043166666666666575,504.04799999654296,0.355
rep,0.04300000000000004,408.4016666658719,0.45
rep,0.04255555555555557,2505.6883333313467,0.4066666666666667
rep,0.042444444444444396,584.7313333344459,0.44666666666666666
spark,0.04233333333333339,190.5740000000177,0.72
rep,0.04177777777777775,956.8109999879201,0.36333333333333334
rep,0.04166666666666674,601.4840000004073,0.35
spark,0.04149999999999998,317.63600000157953,0.565
rep,0.04133333333333333,861.8496667083105,0.3933333333333333
rep,0.04122222222222216,714.4806666676203,0.36333333333333334
rep,0.040888888888888975,451.27666666666715,0.47333333333333333
spark,0.039833333333333276,280.385,0.44
spark,0.03950000000000009,612.2400000011921,0.395
rep,0.03933333333333333,791.2200000000029,0.5033333333333333
rep,0.03899999999999998,6432.349999999996,0.38
rep,0.03822222222222221,2899.1866666666633,0.4866666666666667
rep,0.03799999999999998,1016.8130000001192,0.38666666666666666
spark,0.037833333333333274,628.770499996543,0.515
rep,0.037777777777777743,399.78266666511695,0.44
spark,0.03749999999999998,357.69499999999914,0.44
rep,0.03733333333333333,989.8516666672627,0.5766666666666667
spark,0.03733333333333333,896.9085000038147,0.4
spark,0.03700000000000003,763.3345000000392,0.385
spark,0.036833333333333385,390.8499999999997,0.375
spark,0.03650000000000003,322.7890000000177,0.455
spark,0.035666666666666735,181.8364999999851,0.43
spark,0.03550000000000009,372.2639999998361,0.665
spark,0.03516666666666668,363.02,0.405
rep,0.03511111111111109,714.9299999999998,0.3566666666666667
rep,0.03499999999999992,350.3626666800181,0.36666666666666664
rep,0.034666666666666734,445.6716666662693,0.36666666666666664
rep,0.03444444444444439,973.4553333298365,0.43
rep,0.03444444444444439,1874.3523333319029,0.4533333333333333
rep,0.033777777777777795,311.5300000003477,0.39666666666666667
rep,0.03344444444444444,3504.1870000068348,0.36333333333333334
rep,0.03344444444444439,540.2686666647593,0.48333333333333334
rep,0.03322222222222215,681.9766666662197,0.42333333333333334
rep,0.032999999999999974,685.8423333326975,0.6133333333333333
rep,0.032777777777777795,1515.5949999745687,0.46
spark,0.03249999999999997,208.0295000076294,0.365
rep,0.03199999999999992,676.0170000003278,0.34
rep,0.03166666666666673,359.029000000755,0.4533333333333333
rep,0.031666666666666676,323.96133333226044,0.34
rep,0.03111111111111109,636.0903333286444,0.5433333333333333
rep,0.030777777777777793,1252.3143333303929,0.4066666666666667
spark,0.03066666666666673,282.485,0.38
spark,0.030500000000000027,432.9279999923706,0.48
spark,0.03049999999999997,528.967500000447,0.4
rep,0.02966666666666673,406.3156666670243,0.36333333333333334
spark,0.02966666666666673,1711.5085000026227,0.365
rep,0.02966666666666662,900.5843333323796,0.4066666666666667
rep,0.02966666666666662,1259.5093332290649,0.44666666666666666
rep,0.029333333333333322,616.6876666667064,0.36666666666666664
rep,0.029333333333333322,781.3533333309491,0.44
rep,0.029333333333333267,329.61333333333187,0.3566666666666667
rep,0.027999999999999914,1065.480333332618,0.4666666666666667
rep,0.027333333333333376,302.9866666630904,0.37
rep,0.02722222222222226,547.1294000000247,0.41
rep,0.027111111111111086,392.87299999852974,0.37
rep,0.02664437012263099,4065.950167247683,0.45484949832775917
spark,0.02633333333333343,447.6914999771118,0.36
rep,0.026111111111111085,558.5176666649182,0.38
rep,0.025999999999999912,427.3913333333035,0.37666666666666665
spark,0.025999999999999912,422.81599999785425,0.505
spark,0.025500000000000078,327.15350000004287,0.605
rep,0.02533333333333332,1118.3736666667958,0.46
rep,0.024777777777777787,291.36700000365573,0.46
rep,0.024666666666666615,957.2806666739782,0.38333333333333336
rep,0.02444444444444449,773.7389999989668,0.54
rep,0.02444444444444438,869.8920000003775,0.37
rep,0.023666666666666614,782.4546666663886,0.35333333333333333
rep,0.022666666666666724,518.169333332777,NA
rep,0.022666666666666613,694.8870000108083,0.35333333333333333
rep,0.02211111111111108,1310.8026666659116,0.3433333333333333
spark,0.02199999999999991,447.84600000172856,0.365
rep,0.021555555555555606,439.93933333237965,0.35
rep,0.02133333333333337,716.6499999999984,0.42
spark,0.021166666666666667,319.3439999998361,0.45
rep,0.02111111111111119,679.5719999999801,0.4266666666666667
rep,0.020777777777777784,913.0336666266123,0.38666666666666666
spark,0.020000000000000018,623.7469999992848,0.365
rep,0.019777777777777783,5368.503333333085,0.43333333333333335
rep,0.019333333333333313,783.8649999995778,0.4066666666666667
rep,0.01911111111111108,546.1276666661104,0.5233333333333333
spark,0.018333333333333313,539.38,0.43
spark,0.018166666666666664,689.6529999978841,0.375
rep,0.0178888888888889,143.10933333386978,0.41
spark,0.01733333333333331,624.8420000034571,0.495
spark,0.017166666666666663,457.45750000059604,0.395
rep,0.01633333333333331,961.3846666671336,0.39
rep,0.015888888888888897,1633.2663333217304,0.4666666666666667
rep,0.01533333333333331,233.61466666648786,0.4033333333333333
