"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1239,"0.0-0.0","fq5qqq93avqu1rf",403,"160.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,5810,"0.0-1.0","fq5qqq93avqu1rf",403,"160.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,10970,"0.0-2.0-0.0","fq5qqq93avqu1rf",403,"160.csv","","5158","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","32","",NA,NA,NA,NA,""
"image-keyboard-response",3,13981,"0.0-2.0-1.0","fq5qqq93avqu1rf",403,"160.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,26242,"0.0-2.0-2.0","fq5qqq93avqu1rf",403,"160.csv","","12258.600000143051","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,33605,"0.0-2.0-3.0","fq5qqq93avqu1rf",403,"160.csv","","7361","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,37819,"0.0-2.0-4.0","fq5qqq93avqu1rf",403,"160.csv","","4212.799999952316","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,43784,"0.0-2.0-5.0","fq5qqq93avqu1rf",403,"160.csv","","5962.900000095367","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,46556,"0.0-2.0-6.0","fq5qqq93avqu1rf",403,"160.csv","","2771.7000000476837","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,48215,"0.0-2.0-7.0","fq5qqq93avqu1rf",403,"160.csv","","1657.2000000476837","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,50915,"0.0-2.0-8.0","fq5qqq93avqu1rf",403,"160.csv","","2699.0999999046326","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,52373,"0.0-3.0-0.0","fq5qqq93avqu1rf",403,"160.csv","","1456.2000000476837","resources/trios/L1T1A1.jpg","37","restless",0.9,0.7,0.3,0.69299353044468,"true"
"image-keyboard-response",12,52791,"0.0-3.0-1.0","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/L1BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",13,54014,"0.0-3.0-2.0","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,57970,"0.0-3.1-0.1","fq5qqq93avqu1rf",403,"160.csv","","3954","resources/trios/L2T1A1.jpg","37","restless",0.8,0.7,0.3,0.859085869796603,"false"
"image-keyboard-response",15,58377,"0.0-3.1-1.1","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",16,59599,"0.0-3.1-2.1","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,61474,"0.0-3.2-0.2","fq5qqq93avqu1rf",403,"160.csv","","1872.7000000476837","resources/trios/L2T4A3.jpg","38","restless",0.8,0.7,0.3,0.863444745750371,"false"
"image-keyboard-response",18,61882,"0.0-3.2-1.2","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",19,63091,"0.0-3.2-2.2","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,64557,"0.0-3.3-0.3","fq5qqq93avqu1rf",403,"160.csv","","1464.7999999523163","resources/trios/L2T4A1.jpg","37","restless",0.7,0.7,0.2,0.490735182924698,"true"
"image-keyboard-response",21,64974,"0.0-3.3-1.3","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",22,66181,"0.0-3.3-2.3","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,66947,"0.0-3.4-0.4","fq5qqq93avqu1rf",403,"160.csv","","764.5","resources/trios/L2T4A1.jpg","39","restless",0.7,0.7,0.1,0.163697002733681,"false"
"image-keyboard-response",24,67366,"0.0-3.4-1.4","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/BBA1.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",25,68578,"0.0-3.4-2.4","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,68991,"0.0-3.5-0.5","fq5qqq93avqu1rf",403,"160.csv","","411","resources/trios/L1T1A1.jpg","38","restless",0.7,0.8,0.1,0.418769972283741,"true"
"image-keyboard-response",27,69416,"0.0-3.5-1.5","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",28,70633,"0.0-3.5-2.5","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,71243,"0.0-3.6-0.6","fq5qqq93avqu1rf",403,"160.csv","","607.6999998092651","resources/trios/L1T1A1.jpg","38","restless",0.7,0.8,0.1,0.12682690473759,"true"
"image-keyboard-response",30,71652,"0.0-3.6-1.6","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",31,72869,"0.0-3.6-2.6","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,73331,"0.0-3.7-0.7","fq5qqq93avqu1rf",403,"160.csv","","460.40000009536743","resources/trios/L2T1A1.jpg","37","restless",0.7,0.8,0.1,0.154316296237612,"true"
"image-keyboard-response",33,73755,"0.0-3.7-1.7","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",34,74968,"0.0-3.7-2.7","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",35,75414,"0.0-3.8-0.8","fq5qqq93avqu1rf",403,"160.csv","","444","resources/trios/L2T4A1.jpg","37","restless",0.7,0.7,0.1,0.434576856996232,"true"
"image-keyboard-response",36,75831,"0.0-3.8-1.8","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",37,77042,"0.0-3.8-2.8","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",38,77533,"0.0-3.9-0.9","fq5qqq93avqu1rf",403,"160.csv","","489.39999985694885","resources/trios/L2T4A3.jpg","39","restless",0.7,0.7,0.1,0.0301443313542378,"true"
"image-keyboard-response",39,77937,"0.0-3.9-1.9","fq5qqq93avqu1rf",403,"160.csv","","null","resources/maskTrios/BBA3.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",40,79165,"0.0-3.9-2.9","fq5qqq93avqu1rf",403,"160.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
