"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1146,"0.0-0.0","0x6h2fn074zf3uz",579,"45.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,3594,"0.0-1.0","0x6h2fn074zf3uz",579,"45.csv","true","","","","",NA,NA,NA,NA,""
"survey-html-form",2,19164,"0.0-2.0","0x6h2fn074zf3uz",579,"45.csv","","15569.800000011921","","","",NA,NA,NA,NA,""
"image-keyboard-response",3,25739,"0.0-3.0-0.0","0x6h2fn074zf3uz",579,"45.csv","","6573.5","resources/images/parrot_nobg.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",4,28740,"0.0-3.0-1.0","0x6h2fn074zf3uz",579,"45.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",5,31611,"0.0-3.0-2.0","0x6h2fn074zf3uz",579,"45.csv","","2871","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",6,33067,"0.0-3.0-3.0","0x6h2fn074zf3uz",579,"45.csv","","1455.800000011921","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",7,33523,"0.0-3.0-4.0","0x6h2fn074zf3uz",579,"45.csv","","455.5","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",8,34523,"0.0-3.0-5.0","0x6h2fn074zf3uz",579,"45.csv","","999","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,36107,"0.0-3.0-6.0","0x6h2fn074zf3uz",579,"45.csv","","1583.7999999821186","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",10,36899,"0.0-3.0-7.0","0x6h2fn074zf3uz",579,"45.csv","","791.5","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",11,38540,"0.0-3.0-8.0","0x6h2fn074zf3uz",579,"45.csv","","1640.4000000059605","<p>You can track your coin total on the top right of your screen. </p><p>At the end of your journey you will be directed to a survey, so please click on the link before exiting the task</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",12,39131,"0.0-4.0-0.0","0x6h2fn074zf3uz",579,"45.csv","","590.5999999940395","resources/trios/L1T2A3.jpg","38","restless",0.9,0.3,0.7,0.156198179784328,"true"
"image-keyboard-response",13,39533,"0.0-4.0-1.0","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,40735,"0.0-4.0-2.0","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",15,41227,"0.0-4.1-0.1","0x6h2fn074zf3uz",579,"45.csv","","491.69999998807907","resources/trios/L1T2A3.jpg","37","restless",0.8,0.3,0.7,0.0391705881657014,"true"
"image-keyboard-response",16,41629,"0.0-4.1-1.1","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/L1BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,43427,"0.0-4.1-2.1","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",18,43691,"0.0-4.2-0.2","0x6h2fn074zf3uz",579,"45.csv","","263.80000001192093","resources/trios/L1T2A3.jpg","39","restless",0.8,0.3,0.7,0.924116451121464,"false"
"image-keyboard-response",19,44092,"0.0-4.2-1.2","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/BBA3.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,45294,"0.0-4.2-2.2","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",21,45754,"0.0-4.3-0.3","0x6h2fn074zf3uz",579,"45.csv","","459.7000000178814","resources/trios/L1T2A3.jpg","38","restless",0.8,0.3,0.7,0.504403794370009,"false"
"image-keyboard-response",22,46156,"0.0-4.3-1.3","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,47357,"0.0-4.3-2.3","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",24,47635,"0.0-4.4-0.4","0x6h2fn074zf3uz",579,"45.csv","","277.30000001192093","resources/trios/L1T2A3.jpg","38","restless",0.8,0.3,0.7,0.654054670124455,"false"
"image-keyboard-response",25,48037,"0.0-4.4-1.4","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,49425,"0.0-4.4-2.4","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",27,49483,"0.0-4.5-0.5","0x6h2fn074zf3uz",579,"45.csv","","57.400000005960464","resources/trios/L1T2A3.jpg","38","restless",0.7,0.3,0.7,0.113443476544187,"true"
"image-keyboard-response",28,49884,"0.0-4.5-1.5","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,51086,"0.0-4.5-2.5","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",30,51371,"0.0-4.6-0.6","0x6h2fn074zf3uz",579,"45.csv","","285","resources/trios/L1T2A3.jpg","37","restless",0.7,0.3,0.8,0.568409813947801,"true"
"image-keyboard-response",31,51773,"0.0-4.6-1.6","0x6h2fn074zf3uz",579,"45.csv","","null","resources/maskTrios/L1BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,52974,"0.0-4.6-2.6","0x6h2fn074zf3uz",579,"45.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
