"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1513,"0.0-0.0","kgjm0ootlyqzgwr",351,"4.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,6157,"0.0-1.0","kgjm0ootlyqzgwr",351,"4.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,17665,"0.0-2.0-0.0","kgjm0ootlyqzgwr",351,"4.csv","","11504.5","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","68","",NA,NA,NA,NA,""
"image-keyboard-response",3,20671,"0.0-2.0-1.0","kgjm0ootlyqzgwr",351,"4.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,39204,"0.0-2.0-2.0","kgjm0ootlyqzgwr",351,"4.csv","","18530.89999961853","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,65101,"0.0-2.0-3.0","kgjm0ootlyqzgwr",351,"4.csv","","25894.900000095367","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,71063,"0.0-2.0-4.0","kgjm0ootlyqzgwr",351,"4.csv","","5959.800000190735","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,77202,"0.0-2.0-5.0","kgjm0ootlyqzgwr",351,"4.csv","","6136.400000095367","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,80911,"0.0-2.0-6.0","kgjm0ootlyqzgwr",351,"4.csv","","3708.3999996185303","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,83769,"0.0-2.0-7.0","kgjm0ootlyqzgwr",351,"4.csv","","2856.0999999046326","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,88573,"0.0-2.0-8.0","kgjm0ootlyqzgwr",351,"4.csv","","4803.800000190735","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,100893,"0.0-3.0-0.0","kgjm0ootlyqzgwr",351,"4.csv","","12318.099999904633","resources/trios/L1T4A2.jpg","39","restless",0.9,0.7,0.3,0.543486076526947,"false"
