"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1123,"0.0-0.0","8l7k49y4vxdpgl7",444,"76.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,4325,"0.0-1.0","8l7k49y4vxdpgl7",444,"76.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,9828,"0.0-2.0-0.0","8l7k49y4vxdpgl7",444,"76.csv","","5501.700000047684","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",3,12842,"0.0-2.0-1.0","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,18416,"0.0-2.0-2.0","8l7k49y4vxdpgl7",444,"76.csv","","5572.5","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,19519,"0.0-2.0-3.0","8l7k49y4vxdpgl7",444,"76.csv","","1102.4000000953674","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,20072,"0.0-2.0-4.0","8l7k49y4vxdpgl7",444,"76.csv","","551.3999998569489","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,21515,"0.0-2.0-5.0","8l7k49y4vxdpgl7",444,"76.csv","","1441.2000000476837","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,151891,"0.0-2.0-6.0","8l7k49y4vxdpgl7",444,"76.csv","","130375.39999985695","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,153126,"0.0-2.0-7.0","8l7k49y4vxdpgl7",444,"76.csv","","1234.4000000953674","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,153781,"0.0-2.0-8.0","8l7k49y4vxdpgl7",444,"76.csv","","654.7000000476837","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,158641,"0.0-3.0-0.0","8l7k49y4vxdpgl7",444,"76.csv","","4858.5","resources/trios/L4T2A3.jpg","39","restless",0.7,0.9,0.3,0.00939577369644451,"true"
"image-keyboard-response",12,159060,"0.0-3.0-1.0","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA3.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",13,160281,"0.0-3.0-2.0","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,160741,"0.0-3.1-0.1","8l7k49y4vxdpgl7",444,"76.csv","","457.7999999523163","resources/trios/L4T1A2.jpg","39","restless",0.7,0.9,0.3,0.570606344987179,"false"
"image-keyboard-response",15,161163,"0.0-3.1-1.1","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",16,162373,"0.0-3.1-2.1","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,162773,"0.0-3.2-0.2","8l7k49y4vxdpgl7",444,"76.csv","","398.7000000476837","resources/trios/L2T2A3.jpg","39","restless",0.7,0.9,0.3,0.994045364472562,"false"
"image-keyboard-response",18,163185,"0.0-3.2-1.2","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA3.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",19,164393,"0.0-3.2-2.2","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,164786,"0.0-3.3-0.3","8l7k49y4vxdpgl7",444,"76.csv","","391.7000000476837","resources/trios/L2T2A3.jpg","37","restless",0.7,0.9,0.3,0.879621574525575,"false"
"image-keyboard-response",21,165202,"0.0-3.3-1.3","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",22,166412,"0.0-3.3-2.3","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,166975,"0.0-3.4-0.4","8l7k49y4vxdpgl7",444,"76.csv","","561.2000000476837","resources/trios/L2T1A2.jpg","39","restless",0.7,0.9,0.3,0.850885845301994,"false"
"image-keyboard-response",24,167388,"0.0-3.4-1.4","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",25,168615,"0.0-3.4-2.4","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,168719,"0.0-3.5-0.5","8l7k49y4vxdpgl7",444,"76.csv","","103.19999980926514","resources/trios/L2T2A3.jpg","39","restless",0.7,0.8,0.3,0.653248539524418,"false"
"image-keyboard-response",27,169141,"0.0-3.5-1.5","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA3.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",28,170353,"0.0-3.5-2.5","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,171389,"0.0-3.6-0.6","8l7k49y4vxdpgl7",444,"76.csv","","1034.4000000953674","resources/trios/L2T1A2.jpg","39","restless",0.7,0.8,0.3,0.0787386103292385,"true"
"image-keyboard-response",30,171798,"0.0-3.6-1.6","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",31,173005,"0.0-3.6-2.6","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,173720,"0.0-3.7-0.7","8l7k49y4vxdpgl7",444,"76.csv","","713.5","resources/trios/L2T2A2.jpg","39","restless",0.7,0.8,0.3,0.206570574450397,"true"
"image-keyboard-response",33,174138,"0.0-3.7-1.7","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",34,175357,"0.0-3.7-2.7","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",35,175777,"0.0-3.8-0.8","8l7k49y4vxdpgl7",444,"76.csv","","418.59999990463257","resources/trios/L4T1A2.jpg","39","restless",0.7,0.7,0.3,0.12329678193396,"true"
"image-keyboard-response",36,176193,"0.0-3.8-1.8","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",37,177414,"0.0-3.8-2.8","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",38,177976,"0.0-3.9-0.9","8l7k49y4vxdpgl7",444,"76.csv","","560.7999999523163","resources/trios/L2T1A2.jpg","37","restless",0.7,0.7,0.3,0.263481465008962,"true"
"image-keyboard-response",39,178380,"0.0-3.9-1.9","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",40,179591,"0.0-3.9-2.9","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",41,180016,"0.0-3.10-0.10","8l7k49y4vxdpgl7",444,"76.csv","","423.5","resources/trios/L4T2A3.jpg","37","restless",0.7,0.7,0.3,0.337292443124697,"true"
"image-keyboard-response",42,180427,"0.0-3.10-1.10","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",43,181647,"0.0-3.10-2.10","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",44,181969,"0.0-3.11-0.11","8l7k49y4vxdpgl7",444,"76.csv","","320.2000000476837","resources/trios/L4T1A2.jpg","37","restless",0.7,0.6,0.3,0.407567179922622,"true"
"image-keyboard-response",45,182399,"0.0-3.11-1.11","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",46,183622,"0.0-3.11-2.11","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",47,183919,"0.0-3.12-0.12","8l7k49y4vxdpgl7",444,"76.csv","","296.5","resources/trios/L2T1A2.jpg","37","restless",0.7,0.6,0.3,0.949312140575383,"false"
"image-keyboard-response",48,184330,"0.0-3.12-1.12","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",49,185552,"0.0-3.12-2.12","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",50,185951,"0.0-3.13-0.13","8l7k49y4vxdpgl7",444,"76.csv","","397.40000009536743","resources/trios/L4T1A2.jpg","38","restless",0.8,0.7,0.3,0.357637496278683,"true"
"image-keyboard-response",51,186370,"0.0-3.13-1.13","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",52,187755,"0.0-3.13-2.13","8l7k49y4vxdpgl7",444,"76.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",53,380657,"0.0-3.14-0.14","8l7k49y4vxdpgl7",444,"76.csv","","192904.90000009537","resources/trios/L2T2A2.jpg","39","restless",0.8,0.7,0.3,0.298046786004096,"true"
