"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,954,"0.0-0.0","bgb3o6ajcxzdq5q",979,"46.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,2922,"0.0-1.0","bgb3o6ajcxzdq5q",979,"46.csv","true","","","","",NA,NA,NA,NA,""
"survey-html-form",2,10176,"0.0-2.0","bgb3o6ajcxzdq5q",979,"46.csv","","7233","","","",NA,NA,NA,NA,""
"image-keyboard-response",3,15413,"0.0-3.0-0.0","bgb3o6ajcxzdq5q",979,"46.csv","","5236","resources/images/parrot_nobg.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",4,18413,"0.0-3.0-1.0","bgb3o6ajcxzdq5q",979,"46.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",5,21297,"0.0-3.0-2.0","bgb3o6ajcxzdq5q",979,"46.csv","","2883","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",6,21979,"0.0-3.0-3.0","bgb3o6ajcxzdq5q",979,"46.csv","","682","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",7,22329,"0.0-3.0-4.0","bgb3o6ajcxzdq5q",979,"46.csv","","350","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",8,24216,"0.0-3.0-5.0","bgb3o6ajcxzdq5q",979,"46.csv","","1887","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,25114,"0.0-3.0-6.0","bgb3o6ajcxzdq5q",979,"46.csv","","897","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",10,25789,"0.0-3.0-7.0","bgb3o6ajcxzdq5q",979,"46.csv","","674","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",11,26767,"0.0-3.0-8.0","bgb3o6ajcxzdq5q",979,"46.csv","","978","<p>You can track your coin total on the top right of your screen. </p><p>At the end of your journey you will be directed to a survey, so please click on the link before exiting the task</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",12,27619,"0.0-4.0-0.0","bgb3o6ajcxzdq5q",979,"46.csv","","850","resources/trios/L1T2A3.jpg","37","restless",0.3,0.9,0.7,0.395201323538129,"false"
"image-keyboard-response",13,28020,"0.0-4.0-1.0","bgb3o6ajcxzdq5q",979,"46.csv","","null","resources/maskTrios/L1BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,29220,"0.0-4.0-2.0","bgb3o6ajcxzdq5q",979,"46.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",15,31323,"0.0-4.1-0.1","bgb3o6ajcxzdq5q",979,"46.csv","","2101","resources/trios/L1T2A3.jpg","38","restless",0.3,0.9,0.7,0.369727772552445,"true"
"image-keyboard-response",16,31724,"0.0-4.1-1.1","bgb3o6ajcxzdq5q",979,"46.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
