"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1279,"0.0-0.0","d5gog6xj47sazgh",768,"194.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,4412,"0.0-1.0","d5gog6xj47sazgh",768,"194.csv","true","","","","",NA,NA,NA,NA,""
"survey-html-form",2,16203,"0.0-2.0","d5gog6xj47sazgh",768,"194.csv","","11761.100000000093","","","",NA,NA,NA,NA,""
"image-keyboard-response",3,34502,"0.0-3.0-0.0","d5gog6xj47sazgh",768,"194.csv","","18293","resources/images/parrot_nobg.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",4,37506,"0.0-3.0-1.0","d5gog6xj47sazgh",768,"194.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",5,42212,"0.0-3.0-2.0","d5gog6xj47sazgh",768,"194.csv","","4703.5","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",6,44171,"0.0-3.0-3.0","d5gog6xj47sazgh",768,"194.csv","","1957.1000000000931","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",7,46222,"0.0-3.0-4.0","d5gog6xj47sazgh",768,"194.csv","","2048.7999999998137","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",8,47362,"0.0-3.0-5.0","d5gog6xj47sazgh",768,"194.csv","","1137.5","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,49359,"0.0-3.0-6.0","d5gog6xj47sazgh",768,"194.csv","","1995.3000000002794","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",10,51577,"0.0-3.0-7.0","d5gog6xj47sazgh",768,"194.csv","","2216.5","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",11,54298,"0.0-3.0-8.0","d5gog6xj47sazgh",768,"194.csv","","2719.4000000003725","<p>You can track your coin total on the top right of your screen. </p><p>At the end of your journey you will be directed to a survey, so please click on the link before exiting the task</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",12,56093,"0.0-4.0-0.0","d5gog6xj47sazgh",768,"194.csv","","1791","resources/trios/L4T4A2.jpg","37","restless",0.3,0.9,0.7,0.282128496579596,"true"
"image-keyboard-response",13,56497,"0.0-4.0-1.0","d5gog6xj47sazgh",768,"194.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,57701,"0.0-4.0-2.0","d5gog6xj47sazgh",768,"194.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
