"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1019,"0.0-0.0","3zv70ldf85sybox",405,"20.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,22484,"0.0-1.0","3zv70ldf85sybox",405,"20.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,28943,"0.0-2.0-0.0","3zv70ldf85sybox",405,"20.csv","","6456.200000047684","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","32","",NA,NA,NA,NA,""
"image-keyboard-response",3,31947,"0.0-2.0-1.0","3zv70ldf85sybox",405,"20.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,49727,"0.0-2.0-2.0","3zv70ldf85sybox",405,"20.csv","","17777.5","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,56879,"0.0-2.0-3.0","3zv70ldf85sybox",405,"20.csv","","7149.5","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,65483,"0.0-2.0-4.0","3zv70ldf85sybox",405,"20.csv","","8602","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,73432,"0.0-2.0-5.0","3zv70ldf85sybox",405,"20.csv","","7947.400000035763","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,75997,"0.0-2.0-6.0","3zv70ldf85sybox",405,"20.csv","","2563.300000011921","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,77883,"0.0-2.0-7.0","3zv70ldf85sybox",405,"20.csv","","1883.8999999761581","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,96317,"0.0-2.0-8.0","3zv70ldf85sybox",405,"20.csv","","18432.900000035763","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,99176,"0.0-3.0-0.0","3zv70ldf85sybox",405,"20.csv","","2856.399999976158","resources/trios/L1T4A2.jpg","37","restless",0.7,0.3,0.9,0.186413670713382,"true"
"image-keyboard-response",12,99585,"0.0-3.0-1.0","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/L1BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",13,100794,"0.0-3.0-2.0","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,104616,"0.0-3.1-0.1","3zv70ldf85sybox",405,"20.csv","","3818.5","resources/trios/L1T4A2.jpg","38","restless",0.7,0.3,0.9,0.00133361487657391,"true"
"image-keyboard-response",15,105023,"0.0-3.1-1.1","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",16,106226,"0.0-3.1-2.1","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,108647,"0.0-3.2-0.2","3zv70ldf85sybox",405,"20.csv","","2418.099999964237","resources/trios/L4T4A2.jpg","38","restless",0.6,0.3,0.9,0.798236883163391,"false"
"image-keyboard-response",18,109053,"0.0-3.2-1.2","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",19,110257,"0.0-3.2-2.2","3zv70ldf85sybox",405,"20.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,112092,"0.0-3.3-0.3","3zv70ldf85sybox",405,"20.csv","","1832.699999988079","resources/trios/L4T1A2.jpg","38","restless",0.6,0.3,0.9,0.163323309568123,"true"
"image-keyboard-response",21,112497,"0.0-3.3-1.3","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",22,113704,"0.0-3.3-2.3","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,114349,"0.0-3.4-0.4","3zv70ldf85sybox",405,"20.csv","","642.1000000238419","resources/trios/L4T1A1.jpg","38","restless",0.6,0.3,0.9,0.349128188541158,"false"
"image-keyboard-response",24,114752,"0.0-3.4-1.4","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",25,115959,"0.0-3.4-2.4","3zv70ldf85sybox",405,"20.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,117691,"0.0-3.5-0.5","3zv70ldf85sybox",405,"20.csv","","1730.1000000238419","resources/trios/L1T1A2.jpg","39","restless",0.6,0.3,0.8,0.749954656118576,"true"
"image-keyboard-response",27,118097,"0.0-3.5-1.5","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",28,119304,"0.0-3.5-2.5","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,121476,"0.0-3.6-0.6","3zv70ldf85sybox",405,"20.csv","","2170","resources/trios/L4T4A2.jpg","38","restless",0.6,0.3,0.8,0.276411942163413,"true"
"image-keyboard-response",30,121880,"0.0-3.6-1.6","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",31,123087,"0.0-3.6-2.6","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,125429,"0.0-3.7-0.7","3zv70ldf85sybox",405,"20.csv","","2339.099999964237","resources/trios/L4T1A2.jpg","39","restless",0.6,0.3,0.8,0.196498349631731,"true"
"image-keyboard-response",33,125834,"0.0-3.7-1.7","3zv70ldf85sybox",405,"20.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",34,127037,"0.0-3.7-2.7","3zv70ldf85sybox",405,"20.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",35,128355,"0.0-3.8-0.8","3zv70ldf85sybox",405,"20.csv","","1314.5","resources/trios/L1T1A2.jpg","37","restless",0.5,0.3,0.8,0.167876644839374,"true"
