"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1066,"0.0-0.0","fc60n7tg2jdxje4",784,"60.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,3684,"0.0-1.0","fc60n7tg2jdxje4",784,"60.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,10248,"0.0-2.0-0.0","fc60n7tg2jdxje4",784,"60.csv","","6563","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","32","",NA,NA,NA,NA,""
"image-keyboard-response",3,13251,"0.0-2.0-1.0","fc60n7tg2jdxje4",784,"60.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,20161,"0.0-2.0-2.0","fc60n7tg2jdxje4",784,"60.csv","","6909","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,21553,"0.0-2.0-3.0","fc60n7tg2jdxje4",784,"60.csv","","1391","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,22403,"0.0-2.0-4.0","fc60n7tg2jdxje4",784,"60.csv","","849","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,29707,"0.0-2.0-5.0","fc60n7tg2jdxje4",784,"60.csv","","7303.000000000007","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,31790,"0.0-2.0-6.0","fc60n7tg2jdxje4",784,"60.csv","","2082","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,33461,"0.0-2.0-7.0","fc60n7tg2jdxje4",784,"60.csv","","1670","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,39222,"0.0-2.0-8.0","fc60n7tg2jdxje4",784,"60.csv","","5759","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,41312,"0.0-3.0-0.0","fc60n7tg2jdxje4",784,"60.csv","","2088","resources/trios/L2T1A3.jpg","38","restless",0.7,0.9,0.3,0.0118145387963784,"true"
"image-keyboard-response",12,41714,"0.0-3.0-1.0","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",13,42918,"0.0-3.0-2.0","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,44090,"0.0-3.1-0.1","fc60n7tg2jdxje4",784,"60.csv","","1170","resources/trios/L1T1A1.jpg","38","restless",0.7,0.9,0.3,0.97999326646668,"false"
"image-keyboard-response",15,44492,"0.0-3.1-1.1","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",16,45694,"0.0-3.1-2.1","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,48368,"0.0-3.2-0.2","fc60n7tg2jdxje4",784,"60.csv","","2672.9999999999927","resources/trios/L2T2A3.jpg","38","restless",0.7,0.9,0.3,0.0477450732613202,"true"
"image-keyboard-response",18,48770,"0.0-3.2-1.2","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",19,49973,"0.0-3.2-2.2","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,53055,"0.0-3.3-0.3","fc60n7tg2jdxje4",784,"60.csv","","3077","resources/trios/L2T2A3.jpg","38","restless",0.7,0.9,0.3,0.722247436477298,"true"
"image-keyboard-response",21,53458,"0.0-3.3-1.3","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",22,54660,"0.0-3.3-2.3","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,55571,"0.0-3.4-0.4","fc60n7tg2jdxje4",784,"60.csv","","909","resources/trios/L2T2A1.jpg","38","restless",0.8,0.9,0.4,0.903964091690181,"false"
"image-keyboard-response",24,55973,"0.0-3.4-1.4","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",25,57175,"0.0-3.4-2.4","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,57863,"0.0-3.5-0.5","fc60n7tg2jdxje4",784,"60.csv","","686.9999999999854","resources/trios/L2T1A3.jpg","38","restless",0.8,0.9,0.4,0.366099995476696,"true"
"image-keyboard-response",27,58264,"0.0-3.5-1.5","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",28,59467,"0.0-3.5-2.5","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,60710,"0.0-3.6-0.6","fc60n7tg2jdxje4",784,"60.csv","","1243","resources/trios/L2T1A3.jpg","38","restless",0.9,0.8,0.4,0.145367528072478,"true"
"image-keyboard-response",30,61112,"0.0-3.6-1.6","fc60n7tg2jdxje4",784,"60.csv","","null","resources/maskTrios/BT1B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",31,62313,"0.0-3.6-2.6","fc60n7tg2jdxje4",784,"60.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,63506,"0.0-3.7-0.7","fc60n7tg2jdxje4",784,"60.csv","","1191","resources/trios/L1T1A3.jpg","37","restless",0.9,0.8,0.4,0.42593930507845,"true"
