"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1050,"0.0-0.0","s517gz6lggw555u",140,"152.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,4658,"0.0-1.0","s517gz6lggw555u",140,"152.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,7058,"0.0-2.0-0.0","s517gz6lggw555u",140,"152.csv","","2398","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","32","",NA,NA,NA,NA,""
"image-keyboard-response",3,10062,"0.0-2.0-1.0","s517gz6lggw555u",140,"152.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,14230,"0.0-2.0-2.0","s517gz6lggw555u",140,"152.csv","","4166","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,15772,"0.0-2.0-3.0","s517gz6lggw555u",140,"152.csv","","1541","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,16947,"0.0-2.0-4.0","s517gz6lggw555u",140,"152.csv","","1173.5999999046326","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,19892,"0.0-2.0-5.0","s517gz6lggw555u",140,"152.csv","","2943.7000002861023","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,22057,"0.0-2.0-6.0","s517gz6lggw555u",140,"152.csv","","2164.7000002861023","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,23963,"0.0-2.0-7.0","s517gz6lggw555u",140,"152.csv","","1904.7999997138977","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,28175,"0.0-2.0-8.0","s517gz6lggw555u",140,"152.csv","","4210.89999961853","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
