"trial_type","trial_index","time_elapsed","internal_node_id","subject","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"image-keyboard-response",588,393753,"0.0-3.192-1.192","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",589,394961,"0.0-3.192-2.192","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",590,394966,"0.0-3.193-0.193","s2zthvxk4cjltjq","71.csv","","3.6999999284744263","resources/trios/L4T2A2.jpg","37","restless",0.8,0.6,0.3,0.815203748724812,"false"
"image-keyboard-response",591,395369,"0.0-3.193-1.193","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",592,396576,"0.0-3.193-2.193","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",593,396771,"0.0-3.194-0.194","s2zthvxk4cjltjq","71.csv","","191.79999995231628","resources/trios/L2T2A2.jpg","37","restless",0.7,0.6,0.3,0.401248957508396,"true"
"image-keyboard-response",594,397175,"0.0-3.194-1.194","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",595,398382,"0.0-3.194-2.194","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",596,398542,"0.0-3.195-0.195","s2zthvxk4cjltjq","71.csv","","158.10000002384186","resources/trios/L4T4A2.jpg","37","restless",0.7,0.6,0.3,0.0288547467525622,"true"
"image-keyboard-response",597,398945,"0.0-3.195-1.195","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",598,400152,"0.0-3.195-2.195","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",599,400290,"0.0-3.196-0.196","s2zthvxk4cjltjq","71.csv","","135.39999997615814","resources/trios/L4T4A1.jpg","37","restless",0.7,0.6,0.4,0.461798315287455,"true"
"image-keyboard-response",600,400698,"0.0-3.196-1.196","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",601,401905,"0.0-3.196-2.196","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",602,401908,"0.0-3.197-0.197","s2zthvxk4cjltjq","71.csv","","1.7000000476837158","resources/trios/L2T2A1.jpg","37","restless",0.7,0.6,0.4,0.519645367097844,"true"
"image-keyboard-response",603,402315,"0.0-3.197-1.197","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",604,403520,"0.0-3.197-2.197","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",605,403539,"0.0-3.198-0.198","s2zthvxk4cjltjq","71.csv","","17.399999976158142","resources/trios/L4T2A2.jpg","37","restless",0.7,0.6,0.4,0.172792761342799,"true"
"image-keyboard-response",606,403945,"0.0-3.198-1.198","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",607,405152,"0.0-3.198-2.198","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",608,405202,"0.0-3.199-0.199","s2zthvxk4cjltjq","71.csv","","47.5","resources/trios/L4T4A1.jpg","37","restless",0.7,0.6,0.4,0.155672119481504,"true"
"image-keyboard-response",609,405609,"0.0-3.199-1.199","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",610,406812,"0.0-3.199-2.199","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",611,406980,"0.0-3.200-0.200","s2zthvxk4cjltjq","71.csv","","166","resources/trios/L4T4A2.jpg","37","restless",0.7,0.6,0.4,0.0458264902168322,"true"
"image-keyboard-response",612,407387,"0.0-3.200-1.200","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",613,408592,"0.0-3.200-2.200","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",614,408704,"0.0-3.201-0.201","s2zthvxk4cjltjq","71.csv","","109.39999997615814","resources/trios/L4T4A2.jpg","37","restless",0.7,0.6,0.4,0.853577922595187,"false"
"image-keyboard-response",615,409107,"0.0-3.201-1.201","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",616,410312,"0.0-3.201-2.201","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",617,410399,"0.0-3.202-0.202","s2zthvxk4cjltjq","71.csv","","84.79999995231628","resources/trios/L2T2A1.jpg","37","restless",0.6,0.6,0.4,0.818846300922575,"false"
"image-keyboard-response",618,410802,"0.0-3.202-1.202","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",619,412006,"0.0-3.202-2.202","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",620,412216,"0.0-3.203-0.203","s2zthvxk4cjltjq","71.csv","","207.20000004768372","resources/trios/L4T4A2.jpg","37","restless",0.6,0.6,0.4,0.901679328625635,"false"
"image-keyboard-response",621,412623,"0.0-3.203-1.203","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",622,413827,"0.0-3.203-2.203","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",623,413885,"0.0-3.204-0.204","s2zthvxk4cjltjq","71.csv","","55.10000002384186","resources/trios/L4T4A2.jpg","38","restless",0.6,0.7,0.4,0.437587483576894,"true"
"image-keyboard-response",624,414292,"0.0-3.204-1.204","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",625,415498,"0.0-3.204-2.204","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",626,415513,"0.0-3.205-0.205","s2zthvxk4cjltjq","71.csv","","12.299999952316284","resources/trios/L4T4A2.jpg","38","restless",0.6,0.7,0.4,0.66165048248113,"true"
"image-keyboard-response",627,415919,"0.0-3.205-1.205","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",628,417124,"0.0-3.205-2.205","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",629,417129,"0.0-3.206-0.206","s2zthvxk4cjltjq","71.csv","","2.600000023841858","resources/trios/L2T2A1.jpg","38","restless",0.6,0.7,0.4,0.212067865110659,"true"
"image-keyboard-response",630,417533,"0.0-3.206-1.206","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",631,418739,"0.0-3.206-2.206","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",632,418820,"0.0-3.207-0.207","s2zthvxk4cjltjq","71.csv","","78.60000002384186","resources/trios/L4T2A1.jpg","38","restless",0.6,0.7,0.4,0.106263648276845,"true"
